employee_id,employee_name,department,date,attendance_status,hours_worked,overtime_hours,wellbeing_score,task_overdue_count
E102,David_87,Logistics,2025-03-17,Present,10.22,3.67,4.41,0
E236,John_50,Operations,2025-03-29,Present,10.8,2.61,8.0,0
E035,Fatima_4,Support,2025-04-18,Present,7.92,2.16,6.49,0
E239,Hina_30,Engineering,2025-04-04,Present,6.35,2.05,6.47,0
E120,John_76,Finance,2025-01-29,Absent,0.0,0.0,5.2,0
E229,Ali_69,QA,2025-03-07,Present,6.87,0.0,9.15,0
E032,Usman_67,QA,2025-02-15,Absent,0.0,0.0,7.35,0
E056,Ali_54,Logistics,2025-04-08,Remote,0.0,0.0,8.61,0
E161,Noor_20,Support,2025-02-04,Present,6.35,1.97,7.68,0
E185,Mary_83,Engineering,2025-04-07,Present,7.96,3.01,6.55,0
E274,Ayesha_33,Logistics,2025-02-22,Present,7.25,0.0,5.62,1
E246,Fatima_71,Engineering,2025-02-20,Present,8.64,4.82,3.97,1
E026,Zubair_69,Support,2025-01-28,Present,8.21,2.55,5.82,1
E035,Ali_80,Support,2025-04-09,Present,8.39,1.48,7.35,2
E217,Zubair_85,HR,2025-01-06,Absent,0.0,0.0,6.73,0
E008,Bilal_51,Logistics,2025-01-24,Present,6.49,3.64,3.75,2
E078,Mary_77,Logistics,2025-02-16,Absent,0.0,0.0,6.18,1
E182,Khadija_97,Logistics,2025-03-16,Present,8.8,0.01,5.74,1
E061,Fatima_80,HR,2025-03-25,Present,8.5,1.91,5.43,0
E011,Usman_89,Logistics,2025-02-08,Remote,0.0,0.0,5.74,0
E200,Khadija_10,Finance,2025-03-10,Present,8.72,1.02,4.83,0
E227,Fatima_37,QA,2025-03-04,Present,9.22,0.31,7.74,0
E090,Hina_50,Operations,2025-03-05,Absent,0.0,0.0,6.89,0
E091,Usman_36,Sales,2025-02-27,Present,9.11,3.82,6.21,4
E260,Ayesha_98,HR,2025-04-18,Present,5.89,0.0,8.25,0
E135,Omar_24,HR,2025-03-07,Present,5.89,2.07,6.91,0
E217,Ayesha_6,HR,2025-04-24,Present,7.89,1.64,6.51,0
E051,Noor_77,HR,2025-01-28,Present,6.62,1.52,5.2,1
E293,Omar_24,Support,2025-03-03,Absent,0.0,0.0,5.33,1
E023,Hina_18,QA,2025-01-21,Present,9.33,0.37,9.51,0
E070,Bilal_79,Logistics,2025-01-04,Present,6.73,1.07,4.08,1
E034,Noor_20,Sales,2025-01-07,Present,6.46,2.99,4.06,0
E198,Sophia_73,HR,2025-01-31,Present,7.59,1.16,4.5,0
E215,Mary_35,Sales,2025-04-15,Present,7.77,0.65,6.33,0
E212,Fatima_64,Finance,2025-02-10,Present,8.44,2.04,7.15,0
E035,Sophia_30,HR,2025-02-22,Present,6.81,1.41,6.78,0
E028,Sara_83,QA,2025-04-06,Present,7.63,0.8,7.14,0
E277,David_3,Logistics,2025-03-08,Present,10.17,1.83,6.31,1
E229,Sophia_5,Engineering,2025-04-03,Present,5.78,1.75,5.42,0
E010,Ayesha_29,QA,2025-02-26,Absent,0.0,0.0,4.55,1
E244,Sara_70,Support,2025-01-25,Present,7.47,0.11,7.66,1
E165,Fatima_44,Logistics,2025-02-04,Present,6.99,0.42,7.85,0
E146,Zubair_55,QA,2025-01-24,Present,6.86,3.15,6.93,0
E105,Usman_6,Operations,2025-05-01,Present,9.59,3.55,6.71,2
E041,Noor_23,HR,2025-01-19,Present,9.27,0.4,6.83,0
E002,Bilal_81,QA,2025-03-31,Present,8.81,1.27,3.61,0
E268,David_11,Operations,2025-04-23,Absent,0.0,0.0,3.52,0
E290,Khadija_58,QA,2025-01-21,Present,10.25,1.13,5.44,0
E117,Bilal_87,QA,2025-02-04,Present,7.58,1.08,2.84,2
E280,John_66,HR,2025-02-01,Present,6.96,2.45,6.51,2
E216,Noor_48,Engineering,2025-04-05,Present,9.02,4.55,6.71,2
E220,Noor_48,Sales,2025-04-08,Present,7.32,4.21,6.62,3
E115,John_96,Finance,2025-04-15,Present,5.59,1.78,6.98,0
E245,Omar_71,Operations,2025-03-08,Present,7.5,1.1,5.54,0
E112,John_81,HR,2025-03-08,Present,7.89,0.48,6.06,0
E202,John_8,Support,2025-02-15,Present,8.94,1.18,5.48,0
E009,Fatima_93,Sales,2025-01-27,Present,9.22,1.36,1.0,0
E101,Ahmed_6,Support,2025-01-26,Absent,0.0,0.0,3.9,0
E230,Ali_66,Finance,2025-02-27,Present,7.54,4.97,6.57,0
E101,Fatima_25,Logistics,2025-01-16,Present,10.33,0.0,4.72,0
E099,Ayesha_80,Support,2025-02-06,Present,7.28,0.12,5.06,0
E026,Noor_56,Sales,2025-02-18,Present,8.84,2.19,4.12,0
E073,Ali_21,Logistics,2025-02-15,Present,9.09,1.63,6.04,0
E293,Usman_30,Operations,2025-02-01,Present,9.43,0.41,7.16,1
E057,Omar_88,Sales,2025-03-03,Absent,0.0,0.0,5.59,0
E245,Usman_82,Engineering,2025-04-04,Present,5.88,1.47,7.05,0
E161,Zubair_25,QA,2025-03-24,Present,8.93,2.79,5.55,1
E282,Ahmed_71,Operations,2025-04-10,Absent,0.0,0.0,4.84,0
E011,Khadija_24,Sales,2025-02-14,Present,7.69,0.0,7.76,0
E162,Sophia_21,HR,2025-04-14,Present,6.17,0.0,2.35,0
E109,Zubair_34,Logistics,2025-03-18,Present,8.35,0.0,4.31,0
E149,Bilal_89,Support,2025-01-01,Present,8.42,2.06,7.98,0
E007,Usman_66,Operations,2025-02-27,Present,8.32,1.4,3.99,2
E149,Zubair_71,Sales,2025-03-25,Present,7.84,0.76,3.35,0
E153,Sophia_57,Operations,2025-01-22,Present,9.31,1.04,5.67,0
E088,Mary_15,QA,2025-04-03,Present,7.28,2.89,4.12,1
E031,Ayesha_63,Support,2025-04-10,Present,7.42,1.67,6.26,0
E079,Sophia_24,HR,2025-02-05,Present,6.37,3.06,5.42,0
E009,Usman_76,Support,2025-03-31,Remote,0.0,0.0,4.69,2
E128,John_82,Logistics,2025-02-15,Present,8.58,0.81,3.57,0
E260,Ahmed_16,Sales,2025-03-20,Present,5.07,3.25,6.25,1
E024,Usman_8,Sales,2025-03-16,Present,7.22,0.0,6.2,0
E093,Noor_53,Logistics,2025-02-18,Present,9.03,0.1,7.07,1
E092,John_31,QA,2025-02-20,Remote,0.0,0.0,6.13,0
E154,Sophia_63,HR,2025-02-18,Present,10.38,3.09,6.87,1
E279,Ayesha_80,HR,2025-03-31,Present,6.71,0.41,4.08,0
E131,John_15,Engineering,2025-04-10,Present,8.3,2.64,1.0,1
E007,Bilal_1,Sales,2025-04-18,Present,7.74,0.66,5.29,0
E122,Bilal_6,Sales,2025-03-29,Present,9.09,1.44,3.48,0
E243,Emma_18,HR,2025-01-11,Present,5.56,1.33,4.45,1
E282,Hina_32,Operations,2025-02-09,Present,6.86,1.1,9.99,1
E130,John_1,Finance,2025-02-21,Present,9.04,1.8,5.07,0
E186,Khadija_35,QA,2025-01-03,Present,6.63,1.59,4.01,1
E248,Omar_12,Finance,2025-02-15,Present,5.93,0.77,5.3,0
E113,Ayesha_2,Finance,2025-04-27,Present,7.87,1.99,2.93,2
E096,Noor_22,HR,2025-01-27,Present,8.32,0.84,3.92,0
E002,Mary_77,Finance,2025-02-11,Present,8.63,1.18,4.15,1
E269,John_1,Logistics,2025-04-02,Remote,0.0,0.0,3.58,1
E054,Omar_77,Sales,2025-03-28,Present,7.77,3.74,7.32,2
E050,Khadija_19,Support,2025-02-18,Present,9.42,0.0,1.89,2
E251,Sophia_5,Operations,2025-03-18,Present,6.35,2.41,4.13,0
E064,Ayesha_38,Logistics,2025-02-02,Absent,0.0,0.0,5.59,0
E043,Usman_82,Logistics,2025-04-11,Present,7.18,1.38,5.86,0
E086,David_10,Operations,2025-01-16,Present,7.15,3.39,5.04,1
E123,Bilal_96,Logistics,2025-02-27,Present,8.7,2.23,6.89,0
E162,Mary_27,Finance,2025-05-01,Present,7.44,2.69,6.78,0
E195,Khadija_94,QA,2025-02-21,Present,8.18,2.63,7.19,0
E203,Sara_35,Engineering,2025-04-10,Present,6.61,2.02,4.19,0
E130,Usman_4,Logistics,2025-03-17,Present,8.52,3.59,5.94,3
E189,Khadija_60,Engineering,2025-02-20,Present,9.58,1.1,5.79,1
E115,Ahmed_68,Operations,2025-01-26,Absent,0.0,0.0,6.33,0
E208,Khadija_13,Sales,2025-04-18,Present,7.42,3.22,5.54,0
E099,Ali_30,QA,2025-02-28,Present,9.45,3.17,5.63,2
E269,John_87,Operations,2025-03-03,Present,8.02,1.96,6.15,0
E222,Sophia_66,Sales,2025-02-08,Present,9.31,0.0,3.54,1
E098,John_92,Operations,2025-02-05,Present,6.98,2.61,3.21,3
E031,Sophia_90,Operations,2025-02-14,Present,7.79,4.64,7.46,4
E252,Ali_80,Sales,2025-04-21,Absent,0.0,0.0,8.59,0
E093,Ahmed_18,Sales,2025-04-20,Present,8.65,2.08,4.29,0
E062,David_48,Finance,2025-02-04,Present,8.12,3.45,7.13,0
E087,John_8,Logistics,2025-03-25,Absent,0.0,0.0,8.02,0
E033,Ali_12,Operations,2025-02-13,Present,7.55,2.29,8.74,0
E145,Bilal_7,Operations,2025-02-27,Present,6.41,3.71,8.3,3
E018,Fatima_20,Support,2025-03-29,Present,8.77,0.9,2.96,2
E238,Ayesha_12,Engineering,2025-04-25,Present,8.52,0.0,5.82,1
E287,Ahmed_34,Finance,2025-03-20,Absent,0.0,0.0,5.58,0
E038,Sara_89,Engineering,2025-02-06,Present,7.39,0.89,8.2,0
E186,Ali_26,Finance,2025-02-07,Present,7.35,0.31,9.62,0
E226,Emma_60,Sales,2025-04-24,Present,8.89,0.0,3.3,2
E126,Khadija_75,Engineering,2025-04-27,Present,9.66,0.54,4.41,1
E140,Zubair_31,QA,2025-01-21,Present,8.76,2.04,5.46,0
E144,Sophia_1,HR,2025-02-22,Absent,0.0,0.0,4.99,1
E205,Hina_59,QA,2025-03-30,Present,7.05,1.77,4.44,1
E080,Ali_50,Support,2025-04-13,Present,8.77,2.22,6.13,0
E016,Sara_23,Engineering,2025-03-08,Present,8.66,0.0,6.7,0
E185,Sophia_16,Sales,2025-04-07,Present,6.66,1.97,6.37,0
E262,Ayesha_82,Logistics,2025-01-14,Present,8.12,1.9,3.91,2
E214,Ali_44,Sales,2025-03-14,Absent,0.0,0.0,3.73,0
E063,Sara_90,Finance,2025-01-07,Present,6.15,4.4,5.37,1
E146,Noor_71,QA,2025-01-11,Present,9.17,0.64,7.78,0
E109,Sara_91,Operations,2025-04-19,Absent,0.0,0.0,5.88,0
E222,Ayesha_61,Support,2025-01-21,Present,8.5,3.22,6.18,1
E210,Sara_3,HR,2025-01-16,Present,8.05,1.43,6.88,0
E237,Emma_5,QA,2025-01-23,Present,7.66,1.96,6.79,0
E271,Fatima_7,QA,2025-04-09,Present,7.44,0.76,4.37,0
E188,Ahmed_71,Engineering,2025-02-20,Present,8.65,0.04,6.42,1
E177,Noor_92,Operations,2025-05-01,Present,7.77,1.84,4.94,0
E125,Emma_61,Operations,2025-04-28,Present,7.59,1.04,7.21,0
E149,Ali_41,Engineering,2025-01-25,Present,6.85,0.0,4.54,2
E248,Usman_82,Engineering,2025-04-25,Present,7.18,0.42,6.56,0
E173,John_25,HR,2025-01-10,Absent,0.0,0.0,9.05,1
E110,John_13,Operations,2025-01-17,Present,7.92,2.07,6.0,0
E235,Ayesha_18,Operations,2025-02-28,Remote,0.0,0.0,5.53,0
E197,David_17,Finance,2025-01-18,Absent,0.0,0.0,5.65,0
E125,Fatima_57,Logistics,2025-01-26,Absent,0.0,0.0,2.49,0
E117,David_44,HR,2025-04-27,Present,7.85,3.73,6.65,1
E268,Usman_55,Engineering,2025-04-26,Present,7.79,0.73,5.85,0
E229,Fatima_82,Support,2025-03-13,Present,7.85,2.24,7.0,0
E260,Omar_15,Finance,2025-02-26,Present,8.49,1.14,5.29,0
E230,Noor_13,Logistics,2025-01-18,Present,7.9,2.58,6.38,0
E040,Zubair_86,Operations,2025-01-20,Present,8.98,2.16,2.86,3
E241,Hina_29,Logistics,2025-04-03,Present,8.01,0.77,7.66,0
E273,Sara_18,QA,2025-01-30,Present,7.45,0.35,7.09,0
E233,Sara_28,Sales,2025-04-22,Present,7.99,2.98,4.9,0
E016,Hina_2,Logistics,2025-01-22,Present,9.57,1.05,6.16,0
E198,Hina_87,Engineering,2025-04-17,Absent,0.0,0.0,4.98,0
E053,Sophia_62,Support,2025-02-03,Present,6.04,0.0,6.65,1
E085,Emma_54,Engineering,2025-03-02,Absent,0.0,0.0,6.11,1
E268,Omar_81,HR,2025-01-31,Present,4.9,0.58,5.2,0
E243,Sophia_8,QA,2025-01-26,Present,7.28,0.56,6.57,0
E065,Bilal_12,Engineering,2025-03-31,Remote,0.0,0.0,7.81,0
E153,Noor_86,HR,2025-02-24,Present,6.95,2.7,5.16,0
E112,Sophia_13,Finance,2025-01-14,Present,7.59,1.89,7.43,0
E296,Omar_5,QA,2025-01-07,Present,7.69,0.0,5.15,0
E083,Zubair_53,HR,2025-04-23,Remote,0.0,0.0,3.46,1
E085,Emma_28,Sales,2025-02-18,Present,8.64,1.73,6.45,0
E201,Ayesha_93,Engineering,2025-04-14,Present,8.83,0.0,5.59,0
E075,Omar_90,Engineering,2025-02-25,Present,8.9,1.47,2.87,0
E030,David_40,Operations,2025-04-12,Present,7.77,1.35,8.16,0
E088,Hina_10,Logistics,2025-02-26,Remote,0.0,0.0,5.43,1
E249,Omar_21,Engineering,2025-02-05,Present,10.94,3.36,5.41,1
E213,Zubair_70,Support,2025-01-20,Present,8.82,2.38,2.92,1
E078,Khadija_47,Logistics,2025-01-23,Present,7.7,0.0,4.26,1
E020,Noor_35,Engineering,2025-04-17,Present,5.99,1.43,5.66,0
E259,Noor_91,Support,2025-04-20,Present,8.65,1.84,5.56,1
E036,Sophia_82,Sales,2025-04-15,Absent,0.0,0.0,7.64,0
E172,Hina_86,Sales,2025-04-01,Absent,0.0,0.0,3.37,0
E026,John_47,Support,2025-03-19,Present,8.11,2.47,4.43,0
E040,Usman_67,Engineering,2025-03-10,Present,8.32,0.03,6.16,1
E276,Ayesha_78,Finance,2025-01-21,Present,9.24,1.21,6.38,1
E021,Zubair_40,Logistics,2025-01-18,Present,8.22,0.78,10.0,0
E084,Ayesha_87,Logistics,2025-04-12,Present,6.66,0.0,4.75,0
E252,Fatima_18,Operations,2025-01-24,Present,9.33,0.0,4.78,0
E273,Mary_29,Support,2025-01-21,Present,8.8,0.0,4.69,0
E029,Sara_80,Sales,2025-01-27,Absent,0.0,0.0,3.24,1
E113,David_27,Finance,2025-01-25,Present,7.89,1.8,5.32,1
E069,David_38,Finance,2025-04-04,Present,7.74,0.0,4.29,0
E209,Sophia_16,Support,2025-01-26,Present,7.79,0.0,2.54,0
E153,Noor_87,Finance,2025-03-17,Absent,0.0,0.0,7.25,0
E140,Ali_50,Sales,2025-03-06,Absent,0.0,0.0,6.63,0
